ID,OPEID,Institution Name,City,State,GiftReceivedDate,ForeignGiftAmount,GiftType,CountryGiftor,GiftorName
1,00102000,Jacksonville State University,Jacksonville,AL,09/30/2019,250000,Monetary Gift,CHINA,Confucius Institute Headquarters
2,00104700,Troy University,Troy,AL,05/07/2019,463657,Contract,CHINA,Confucius Institute Headquarters
3,00105100,University of Alabama,Tuscaloosa,AL,01/01/2019,3649107,Contract,ENGLAND,Springer Nature Customer Service Ce
4,00105100,University of Alabama,Tuscaloosa,AL,01/07/2019,1000,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
5,00105100,University of Alabama,Tuscaloosa,AL,01/14/2019,49476,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
6,00105100,University of Alabama,Tuscaloosa,AL,02/05/2019,30231,Contract,KUWAIT,Kuwait-Embassy of the State
7,00105100,University of Alabama,Tuscaloosa,AL,02/11/2019,30162,Contract,KUWAIT,Kuwait-Embassy of the State
8,00105100,University of Alabama,Tuscaloosa,AL,02/21/2019,200,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
9,00105100,University of Alabama,Tuscaloosa,AL,03/05/2019,5136,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
10,00105100,University of Alabama,Tuscaloosa,AL,03/07/2019,57049,Contract,JAPAN,Kansai Gaidai University (KGU)
11,00105100,University of Alabama,Tuscaloosa,AL,03/18/2019,57778,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
12,00105100,University of Alabama,Tuscaloosa,AL,03/19/2019,200,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
13,00105100,University of Alabama,Tuscaloosa,AL,03/19/2019,517303,Contract,KOREA,Korea Polar Research Institute - KO
14,00105100,University of Alabama,Tuscaloosa,AL,03/19/2019,5188,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
15,00105100,University of Alabama,Tuscaloosa,AL,03/20/2019,844219,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
16,00105100,University of Alabama,Tuscaloosa,AL,04/04/2019,4454795,Contract,KUWAIT,Kuwait-Embassy of the State
17,00105100,University of Alabama,Tuscaloosa,AL,04/29/2019,20156,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
18,00105100,University of Alabama,Tuscaloosa,AL,05/01/2019,400000,Contract,ENGLAND,Springer Nature
19,00105100,University of Alabama,Tuscaloosa,AL,05/03/2019,642,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
20,00105100,University of Alabama,Tuscaloosa,AL,05/06/2019,2568,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
21,00105100,University of Alabama,Tuscaloosa,AL,05/07/2019,312245,Contract,JAPAN,Kansai Gaidai University (KGU)
22,00105100,University of Alabama,Tuscaloosa,AL,05/08/2019,15114,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
23,00105100,University of Alabama,Tuscaloosa,AL,05/28/2019,92,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
24,00105100,University of Alabama,Tuscaloosa,AL,05/29/2019,5136,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
25,00105100,University of Alabama,Tuscaloosa,AL,05/29/2019,122911,Contract,KUWAIT,Kuwait-Embassy of the State
26,00105100,University of Alabama,Tuscaloosa,AL,05/30/2019,100,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
27,00105100,University of Alabama,Tuscaloosa,AL,05/31/2019,17465,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
28,00105100,University of Alabama,Tuscaloosa,AL,06/11/2019,368,Contract,JAPAN,Kansai Gaidai University (KGU)
29,00105100,University of Alabama,Tuscaloosa,AL,06/14/2019,147476,Contract,TURKEY,"Turkish Consulate General,"
