ID,OPEID,Institution Name,City,State,GiftReceivedDate,ForeignGiftAmount,GiftType,CountryGiftor,GiftorName
1,00102000,Jacksonville State University,Jacksonville,AL,09/30/2019,"$250,000.00",Monetary Gift,CHINA,
2,00104700,Troy University,Troy,AL,05/07/2019,"$463,657.00",Contract,CHINA,Confucius Institute Headquarters
3,00105100,University of Alabama,Tuscaloosa,AL,01/01/2019,"$3,649,107.00",Contract,ENGLAND,Springer Nature Customer Service Ce
4,00105100,University of Alabama,Tuscaloosa,AL,01/07/2019,"$1,000.00",Contract,SAUDI ARABIA,Saudi Arabia Education Mission
5,00105100,University of Alabama,Tuscaloosa,AL,01/14/2019,"$49,476.00",Contract,SAUDI ARABIA,Saudi Arabia Education Mission
6,00105100,University of Alabama,Tuscaloosa,AL,02/05/2019,"$30,231.00",Contract,KUWAIT,
7,00105100,University of Alabama,Tuscaloosa,AL,02/11/2019,"$30,162.00",Contract,KUWAIT,Kuwait-Embassy of the State
8,00105100,University of Alabama,Tuscaloosa,AL,02/21/2019,$200.00,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
9,00105100,University of Alabama,Tuscaloosa,AL,03/05/2019,"$5,136.00",Contract,SAUDI ARABIA,Saudi Arabia Education Mission
10,00105100,University of Alabama,Tuscaloosa,AL,03/07/2019,"$57,049.00",Contract,JAPAN,Kansai Gaidai University (KGU)
11,00105100,University of Alabama,Tuscaloosa,AL,03/18/2019,"$57,778.00",Contract,SAUDI ARABIA,Saudi Arabia Education Mission
12,00105100,University of Alabama,Tuscaloosa,AL,03/19/2019,$200.00,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
13,00105100,University of Alabama,Tuscaloosa,AL,03/19/2019,"$517,303.00",Contract,KOREA,Korea Polar Research Institute - KO
14,00105100,University of Alabama,Tuscaloosa,AL,03/19/2019,"$5,188.00",Contract,SAUDI ARABIA,Saudi Arabia Education Mission
15,00105100,University of Alabama,Tuscaloosa,AL,03/20/2019,"$844,219.00",Contract,SAUDI ARABIA,Saudi Arabia Education Mission
16,00105100,University of Alabama,Tuscaloosa,AL,04/04/2019,"$4,454,795.00",Contract,KUWAIT,Kuwait-Embassy of the State
17,00105100,University of Alabama,Tuscaloosa,AL,04/29/2019,"$20,156.00",Contract,SAUDI ARABIA,Saudi Arabia Education Mission
18,00105100,University of Alabama,Tuscaloosa,AL,05/01/2019,"$400,000.00",Contract,ENGLAND,Springer Nature
19,00105100,University of Alabama,Tuscaloosa,AL,05/03/2019,$642.00,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
20,00105100,University of Alabama,Tuscaloosa,AL,05/06/2019,"$2,568.00",Contract,SAUDI ARABIA,Saudi Arabia Education Mission
21,00105100,University of Alabama,Tuscaloosa,AL,05/07/2019,"$312,245.00",Contract,JAPAN,Kansai Gaidai University (KGU)
22,00105100,University of Alabama,Tuscaloosa,AL,05/08/2019,"$15,114.00",Contract,SAUDI ARABIA,Saudi Arabia Education Mission
23,00105100,University of Alabama,Tuscaloosa,AL,05/28/2019,$92.00,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
24,00105100,University of Alabama,Tuscaloosa,AL,05/29/2019,"$5,136.00",Contract,SAUDI ARABIA,Saudi Arabia Education Mission
25,00105100,University of Alabama,Tuscaloosa,AL,05/29/2019,"$122,911.00",Contract,KUWAIT,Kuwait-Embassy of the State
26,00105100,University of Alabama,Tuscaloosa,AL,05/30/2019,$100.00,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
27,00105100,University of Alabama,Tuscaloosa,AL,05/31/2019,"$17,465.00",Contract,SAUDI ARABIA,Saudi Arabia Education Mission
28,00105100,University of Alabama,Tuscaloosa,AL,06/11/2019,$368.00,Contract,JAPAN,Kansai Gaidai University (KGU)
29,00105100,University of Alabama,Tuscaloosa,AL,06/14/2019,"$147,476.00",Contract,TURKEY,"Turkish Consulate General,"
30,00105100,University of Alabama,Tuscaloosa,AL,06/14/2019,"$15,892.00",Contract,TURKEY,"Turkish Consulate General,"
31,00105100,University of Alabama,Tuscaloosa,AL,06/14/2019,"$3,852.00",Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,"
32,00105100,University of Alabama,Tuscaloosa,AL,06/14/2019,$255.00,Contract,TURKEY,"Turkish Consulate General,"
33,00105100,University of Alabama,Tuscaloosa,AL,06/19/2019,"$47,762.00",Contract,KUWAIT,Kuwait-Embassy Of The State
34,00105100,University of Alabama,Tuscaloosa,AL,07/01/2019,"$31,522.00",Contract,KUWAIT,Kuwait-Embassy Of The State
35,00105100,University of Alabama,Tuscaloosa,AL,07/09/2019,$25.00,Contract,TURKEY,"Turkish Consulate General,"
36,00105100,University of Alabama,Tuscaloosa,AL,07/30/2019,$100.00,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
37,00105100,University of Alabama,Tuscaloosa,AL,07/30/2019,"$183,198.00",Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,"
38,00105100,University of Alabama,Tuscaloosa,AL,07/31/2019,"$1,650,825.00",Monetary Gift,GERMANY,Mercedes-Benz US International Inc
39,00105100,University of Alabama,Tuscaloosa,AL,08/06/2019,"$170,730.00",Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,"
40,00105100,University of Alabama,Tuscaloosa,AL,08/19/2019,"$2,672,036.00",Contract,KUWAIT,Kuwait-Embassy Of The State
41,00105100,University of Alabama,Tuscaloosa,AL,08/28/2019,"$12,208.00",Contract,KUWAIT,Kuwait-Embassy Of The State
42,00105100,University of Alabama,Tuscaloosa,AL,08/29/2019,"$3,384.00",Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,"
43,00105100,University of Alabama,Tuscaloosa,AL,08/31/2019,"$7,250.00",Contract,GERMANY,Daimler Purchasing Coordination Cor
44,00105100,University of Alabama,Tuscaloosa,AL,09/18/2019,"$12,308.00",Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,"
45,00105100,University of Alabama,Tuscaloosa,AL,09/19/2019,"$12,248.00",Contract,KUWAIT,Kuwait-Embassy Of The State
46,00105100,University of Alabama,Tuscaloosa,AL,09/20/2019,"$22,254.00",Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,"
47,00105100,University of Alabama,Tuscaloosa,AL,09/30/2019,"$2,195.00",Contract,KUWAIT,Kuwait-Embassy Of The State
48,00105100,University of Alabama,Tuscaloosa,AL,10/02/2019,"$49,724.00",Contract,JAPAN,Kansai Gaidai University (KGU)
49,00105100,University of Alabama,Tuscaloosa,AL,10/03/2019,"$54,760.00",Contract,KUWAIT,Kuwait-Embassy Of The State
50,00105100,University of Alabama,Tuscaloosa,AL,10/03/2019,"$16,921.00",Contract,KUWAIT,Kuwait-Embassy Of The State
51,00105100,University of Alabama,Tuscaloosa,AL,10/07/2019,"$243,616.00",Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,"
52,00105100,University of Alabama,Tuscaloosa,AL,10/14/2019,"$40,700.00",Contract,GERMANY,Mercedes Benz US International
53,00105100,University of Alabama,Tuscaloosa,AL,10/18/2019,"$526,255.00",Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,"
54,00105100,University of Alabama,Tuscaloosa,AL,10/21/2019,"$4,503.00",Contract,KUWAIT,Kuwait-Embassy Of The State
55,00105100,University of Alabama,Tuscaloosa,AL,10/24/2019,"$1,785,707.00",Contract,KUWAIT,Kuwait-Embassy Of The State
56,00105100,University of Alabama,Tuscaloosa,AL,10/25/2019,"$160,938.00",Contract,JAPAN,Kansai Gaidai University (KGU)
57,00105100,University of Alabama,Tuscaloosa,AL,10/30/2019,"$17,890.00",Contract,KUWAIT,Kuwait-Embassy Of The State
58,00105100,University of Alabama,Tuscaloosa,AL,11/12/2019,"$15,698.00",Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,"
59,00105100,University of Alabama,Tuscaloosa,AL,11/13/2019,"$79,489.00",Contract,TURKEY,"Turkish Consulate General,"
60,00105100,University of Alabama,Tuscaloosa,AL,11/14/2019,"$20,140.00",Contract,KUWAIT,Kuwait-Embassy Of The State
61,00105100,University of Alabama,Tuscaloosa,AL,11/18/2019,"$2,395.00",Contract,TURKEY,General Directorate of State Hydrua
62,00105100,University of Alabama,Tuscaloosa,AL,11/18/2019,"$2,592.00",Contract,TURKEY,General Directorate of State Hydrua
63,00105100,University of Alabama,Tuscaloosa,AL,11/25/2019,"$34,143.00",Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,"
64,00105100,University of Alabama,Tuscaloosa,AL,11/27/2019,"$4,784,428.00",Contract,KUWAIT,Kuwait-Embassy Of The State
65,00105100,University of Alabama,Tuscaloosa,AL,12/12/2019,"$192,137.00",Contract,TURKEY,"Turkish Consulate General,"
66,00105200,University of Alabama at Birmingham,Birmingham,AL,01/02/2019,$582.00,Contract,ENGLAND,Glaxo SmithKline
67,00105200,University of Alabama at Birmingham,Birmingham,AL,01/03/2019,"$149,970.00",Contract,SWEDEN,Gambo
68,00105200,University of Alabama at Birmingham,Birmingham,AL,01/07/2019,"$5,544.00",Contract,ENGLAND,Glaxo SmithKline
69,00105200,University of Alabama at Birmingham,Birmingham,AL,01/07/2019,"$86,772.00",Contract,ENGLAND,Glaxo SmithKline
70,00105200,University of Alabama at Birmingham,Birmingham,AL,01/07/2019,$382.00,Contract,ENGLAND,Glaxo SmithKline
71,00105200,University of Alabama at Birmingham,Birmingham,AL,01/07/2019,"$73,500.00",Contract,BERMUDA,"Incysus, LTD"
72,00105200,University of Alabama at Birmingham,Birmingham,AL,01/08/2019,"$1,291.00",Contract,ENGLAND,Astex Therapeutics Ltd
73,00105200,University of Alabama at Birmingham,Birmingham,AL,01/08/2019,"$55,125.00",Contract,BERMUDA,"Incysus, LTD"
