RETURN_ID,FILING_TYPE,EIN,TAX_PERIOD,SUB_DATE,TAXPAYER_NAME,RETURN_TYPE,DLN,OBJECT_ID
14054169,EFILE,042662873,201603,1/4/2017 10:27:37 AM,ELKS BUILDING CORP OF NORWOOD,990O,93493243000066,201612439349300006
14056200,EFILE,042964630,201512,1/4/2017 8:17:38 PM,NEIGHBORHOOD OF AFFORDABLE HOUSING INC,990,93493243000266,201612439349300026
14055992,EFILE,382912028,201512,1/4/2017 6:07:44 PM,RELEAF MICHIGAN INC,990,93493243003416,201612439349300341
14056203,EFILE,200509226,201605,1/4/2017 8:17:39 PM,ST MICHAEL ALBERTVILLE FOOTBALL BOOSTER CLUB,990,93493243005166,201612439349300516
14057332,EFILE,202699020,201512,1/4/2017 11:23:48 PM,KARLA SMITH FOUNDATION,990,93493243005466,201612439349300546
14053715,EFILE,251525572,201512,1/4/2017 8:50:35 AM,ENTERPRISE DEVELOPMENT FUND OF ERIE COUNTY INC,990,93493243006016,201612439349300601
14055995,EFILE,810593280,201512,1/4/2017 6:07:45 PM,HCANJ FOUNDATION INC,990,93493243006216,201612439349300621
14054314,EFILE,561434187,201606,1/4/2017 10:51:40 AM,ROSEWOOD VOLUNTEER FIRE DEPT INC,990O,93493243007466,201612439349300746
14053718,EFILE,936027198,201606,1/4/2017 8:50:37 AM,EUGENE ROTARY SCHOLARSHIP FOUNDATION,990,93493243008616,201612439349300861
14055296,EFILE,274351424,201512,1/4/2017 1:52:48 PM,JOHN AND MARGARET SNYDER FOUNDATION,990PF,93491244006016,201612449349100601
14055010,EFILE,205694378,201605,1/4/2017 1:24:05 PM,JESSE N SMITH HERITAGE FOUNDATION,990PF,93491244007066,201612449349100706
14057702,EFILE,510183497,201512,1/5/2017 12:32:15 AM,CARRIAGE TRAVEL CLUB INC,990EO,93492244000016,201612449349200001
14054110,EFILE,272212300,201512,1/4/2017 10:13:23 AM,NAZARETH FOOTBALL BOOSTER CLUB,990EZ,93492244001016,201612449349200101
14057937,EFILE,274033935,201512,1/5/2017 1:11:05 AM,NATIVIDAD MEDICAL STAFF CO AMISH A SHAH,990EO,93492244001116,201612449349200111
14057181,EFILE,273276308,201512,1/4/2017 11:08:15 PM,FIVE LOAVES AND TWO FISH FOOD PANTRY,990EZ,93492244001216,201612449349200121
14054425,EFILE,930717774,201606,1/4/2017 11:14:09 AM,SHERMAN PRESCHOOL,990EZ,93492244007566,201612449349200756
14054870,EFILE,472143570,201512,1/4/2017 12:21:03 PM,MAUI POLICE ACTIVITIES LEAGUE,990EZ,93492244007616,201612449349200761
14057189,EFILE,746068016,201606,1/4/2017 11:08:18 PM,ALAMO REGIONAL ACADEMY OF SCIENCE AND ENGINEERING,990EZ,93492244008066,201612449349200806
14054814,EFILE,480119830,201606,1/4/2017 12:12:44 PM,AMERICAN LEGION 004,990EO,93492244009066,201612449349200906
14053719,EFILE,204212837,201512,1/4/2017 8:50:37 AM,GREATER GALILEE LEARNING CENTER,990,93493244002166,201612449349300216
14057333,EFILE,954820311,201607,1/4/2017 11:23:48 PM,VAN NUYS HIGH SCHOOL MAGNET PARENTS ASSOCIATION,990,93493244003366,201612449349300336
14056925,EFILE,631282125,201512,1/4/2017 10:47:46 PM,ALABAMA PROBATE JUDGES ASSOCIATION,990O,93493244004066,201612449349300406
14055998,EFILE,411375036,201512,1/4/2017 6:07:47 PM,ANOKA COUNTY HISTORICAL SOCIETY,990,93493244006066,201612449349300606
14053069,EFILE,946181807,201512,1/4/2017 7:36:59 AM,BOY SCOUTS OF AMERICA INC TRUST FUND MT DIABLO SILVERADO COUNCIL TRUST,990,93493244006366,201612449349300636
14056207,EFILE,412164361,201512,1/4/2017 8:17:41 PM,WEST RHODE RIVERKEEPER INC,990,93493244007566,201612449349300756
14054174,EFILE,221936892,201604,1/4/2017 10:27:39 AM,SOUTH JERSEY MECHANICAL CONTRACTORS ASSOCIATION INDUSTRY FUND,990O,93493244007866,201612449349300786
14054319,EFILE,436050205,201512,1/4/2017 10:51:42 AM,NEWTON COUNTY AGRICULTURAL AND MECHANICAL SOCIETY,990O,93493244010616,201612449349301061
14053724,EFILE,042466767,201510,1/4/2017 8:50:39 AM,HOLYOKE-CHICOPEE- SPRINGFIELD HEAD START INC,990,93493244010716,201612449349301071
14053987,EFILE,630797410,201606,1/4/2017 9:57:25 AM,AMERICAN ASSOCIATION OF SURGICAL PHYSICIAN ASSISTANTS INC,990O,93493244010766,201612449349301076
14058214,EFILE,461551595,201512,1/5/2017 5:39:10 AM,5G FOUNDATION,990PF,93491245003216,201612459349100321
14057240,EFILE,460305857,201512,1/4/2017 11:12:11 PM,PLATTE AMBULANCE SERVICE,990EZ,93492245001116,201612459349200111
14054752,EFILE,546053668,201606,1/4/2017 12:04:12 PM,ROTARY CLUB OF WILLIAMSBURG INC,990EO,93492245002066,201612459349200206
14054084,EFILE,455227971,201512,1/4/2017 10:11:23 AM,GULF COAST GUJARATI SAMAJ INC,990EZ,93492245003216,201612459349200321
14057243,EFILE,270290159,201512,1/4/2017 11:12:12 PM,COMMON SENSE ALLIANCE,990EZ,93492245004316,201612459349200431
14054756,EFILE,592745800,201603,1/4/2017 12:04:13 PM,SUNLAKE SOCIAL CLUB,990EO,93492245005066,201612459349200506
14057247,EFILE,272166603,201512,1/4/2017 11:12:13 PM,BRIDGEWATER PBA LOCAL 174 CIVIC ASSOCIATION INC,990EZ,93492245007116,201612459349200711
14056139,EFILE,952058103,201606,1/4/2017 7:43:12 PM,DOWNEY SYMPHONIC SOCIETY INC,990,93493245002416,201612459349300241
14056928,EFILE,465215047,201512,1/4/2017 10:47:47 PM,DEARBORN SCHOOLS EMPLOYEE HEALTHCARE PROGRAM VOLUN,990O,93493245003016,201612459349300301
14062061,EFILE,640877906,201606,1/5/2017 8:10:20 PM,EXCHANGE CLUB CENTER FOR PREVENTION OF CHILD ABUSE OF NORTH MS INC,990,93493251009586,201632519349300958
14062056,EFILE,223091017,201606,1/5/2017 8:10:17 PM,COMMUNITY LIVING CORPORATION,990,93493246001086,201632469349300108
14062060,EFILE,611339396,201512,1/5/2017 8:10:20 PM,SACRED HEART VILLAGE II INC,990,93493251003136,201632519349300313
14062080,EFILE,760312087,201512,1/5/2017 8:10:30 PM,WORKLIFE MINISTRY INC,990,93493250003196,201642509349300319
14062082,EFILE,481267982,201512,1/5/2017 8:10:31 PM,RENEW THE HOPE INC,990,93493250007046,201642509349300704
14062078,EFILE,300308421,201512,1/5/2017 8:10:29 PM,UCC XIX INC,990,93493250002096,201642509349300209
14062076,EFILE,311475577,201606,1/5/2017 8:10:28 PM,HIGHLAND PARK EDUCATIONAL FOUNDATION,990,93493246002446,201642469349300244
14062063,EFILE,201811745,201512,1/5/2017 8:10:21 PM,TOUCH A LIFE FOUNDATION,990,93493252008336,201632529349300833
14062062,EFILE,364592698,201512,1/5/2017 8:10:21 PM,FREEDOM FOUNDATION OF MINNESOTA,990,93493251011536,201632519349301153
14062084,EFILE,650880021,201512,1/5/2017 8:10:33 PM,PULMONARY HYPERTENSION ASSOCIATION,990,93493251004346,201642519349300434
14052898,EFILE,760663405,201606,1/4/2017 7:03:01 AM,AUBREYS END CO RSM US LLP,990PF,93491237004156,201602379349100415
14052902,EFILE,030303902,201512,1/4/2017 7:03:02 AM,VERMONT DENTAL FOUNDATION,990PF,93491237006056,201602379349100605
14051551,EFILE,271127691,201512,1/3/2017 11:31:08 PM,MISSION TO EL SALVADOR,990,93493237002306,201602379349300230
14051553,EFILE,742629973,201512,1/3/2017 11:31:09 PM,VICTORIOUS CHRISTIAN HARVESTERS INC,990,93493237005306,201602379349300530
14055831,EFILE,311423392,201512,1/4/2017 5:34:55 PM,KAPLAN FOUNDATION,990PF,93491238006056,201602389349100605
14051584,EFILE,237034337,201602,1/3/2017 11:31:29 PM,EAST RIVANNA VOL FIRE COMPANY INC,990O,93493238005456,201602389349300545
14050748,EFILE,920161199,201512,1/3/2017 8:44:54 PM,ALASKA YANNA VARARAM,990,93493238008456,201602389349300845
14049303,EFILE,510334888,201606,1/3/2017 1:48:00 PM,FRIENDS OF THE BEAR LIBRARY ASSOCIATION,990EZ,93492239006206,201602399349200620
14049307,EFILE,232090353,201512,1/3/2017 1:48:01 PM,TULPEHOCKEN SETTLEMENT HISTORICAL SOCIETY,990EZ,93492239007156,201602399349200715
14050371,EFILE,621169943,201606,1/3/2017 7:11:50 PM,MARYVILLE CITY SCHOOLS BOOSTER CLUB,990,93493239003106,201602399349300310
14050375,EFILE,453068553,201512,1/3/2017 7:11:52 PM,MILWAUKEE CENTER FOR CHILDREN AND YOUTH INC,990,93493239003306,201602399349300330
14050379,EFILE,841261271,201606,1/3/2017 7:11:54 PM,ADOLESCENT COUNSELING EXCHANGE,990,93493239004106,201602399349300410
14047513,EFILE,222209117,201512,1/3/2017 9:00:23 AM,EDNA ST VINCENT MILLAY SOCIETY,990,93493239006056,201602399349300605
14050382,EFILE,205323335,201512,1/3/2017 7:11:56 PM,PANTHER CREEK INSPIRATION RANCH,990,93493239006106,201602399349300610
14047516,EFILE,050482260,201606,1/3/2017 9:00:25 AM,WEST HOUSE CORPORATION,990,93493239006256,201602399349300625
14047519,EFILE,731664447,201512,1/3/2017 9:00:27 AM,FRIENDS OF ST JOSEPH BAY PRESERVES,990,93493239007006,201602399349300700
14047523,EFILE,920091523,201512,1/3/2017 9:00:31 AM,MIDNIGHT SUN SWIM TEAM,990,93493239007256,201602399349300725
14051026,EFILE,510429317,201512,1/3/2017 9:39:30 PM,GROVE PARK VILLAGE INC,990O,93493239008006,201602399349300800
14047526,EFILE,631063961,201512,1/3/2017 9:00:33 AM,AMERICAN FREEDOM ASSEMBLY INC,990,93493239009006,201602399349300900
14047529,EFILE,590652592,201604,1/3/2017 9:00:35 AM,GFWC TAMPA WOMANS CLUB INC,990,93493239009156,201602399349300915
14051618,EFILE,263997853,201512,1/3/2017 11:34:57 PM,TRAVIS COUNTY ALIVE TEAM INC,990EZ,93492240000006,201602409349200000
14051621,EFILE,133769297,201606,1/3/2017 11:34:58 PM,INTELLIGENT TRANSPORTATION SOCIETY OF NY,990EZ,93492240002006,201602409349200200
14051625,EFILE,830443585,201606,1/3/2017 11:34:59 PM,CAMP PENDLETON HISTORICAL SOCIETY INC,990EZ,93492240007006,201602409349200700
14056930,EFILE,390511950,201512,1/4/2017 10:47:48 PM,OAK GROVE CEMETERY ASSOCIATION,990O,93493245003466,201612459349300346
14053679,EFILE,132626135,201512,1/4/2017 8:48:57 AM,TECHNOSERVE INC,990,93493245004266,201612459349300426
14056141,EFILE,820476202,201510,1/4/2017 7:43:13 PM,TWIN PINES APARTMENTS INC,990,93493245004316,201612459349300431
14056144,EFILE,770168443,201606,1/4/2017 7:43:15 PM,RESTORATIVE JUSTICE PARTNERS INC,990,93493245005366,201612459349300536
14053938,EFILE,356007517,201606,1/4/2017 9:54:36 AM,SIGMA PI BETA CHAPTER HOUSING CORP,990O,93493245006266,201612459349300626
14056461,EFILE,561487713,201606,1/4/2017 9:04:30 PM,ELLERBE RESCUE SQUAD,990,93493245008166,201612459349300816
14053682,EFILE,383415486,201512,1/4/2017 8:48:59 AM,COME OVER AND HELP ORGANIZATION,990,93493245009716,201612459349300971
14053654,EFILE,270960746,201512,1/4/2017 8:47:23 AM,GERMANTOWN BASEBALL CLUB INC,990,93493245009766,201612459349300976
14054240,EFILE,410128105,201512,1/4/2017 10:30:18 AM,CONNEXUS ENERGY,990O,93493245011016,201612459349301101
14056464,EFILE,930811197,201512,1/4/2017 9:04:32 PM,OREGON POTTERS ASSOCIATION,990,93493245011116,201612459349301111
14058895,EFILE,464014717,201606,1/5/2017 7:57:50 AM,PTO FARMS,990EZ,93492246004116,201612469349200411
